GeneId.Ensembl;PANC.1;PANC.2;SCR.1;SCR.2;SH.1;SH.2;mock.1;mock.2;mrp4.1;mrp4.2;Xmock.1;Xmock.2;Xmock.3;Xmrp4.1;Xmrp4.2;Xmrp4.3;GeneSymbol
ENSG00000284458.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MIR1304
ENSG00000210825.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SNORA40
ENSG00000182919.15;226;234;121;122;94;129;188;227;172;237;152;193;188;204;111;128;C11orf54
ENSG00000042429.12;131;91;58;58;44;47;92;91;115;126;97;94;141;115;80;88;MED17
ENSG00000214376.6;1;0;0;1;0;0;1;4;3;1;0;2;0;0;0;0;VSTM5
ENSG00000256752.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HPRT1P3
ENSG00000181333.12;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;HEPHL1
ENSG00000110218.9;753;1116;295;620;510;432;192;285;211;235;213;204;272;223;143;137;PANX1
ENSG00000183560.10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;IZUMO1R
ENSG00000123901.9;0;4;4;0;1;2;5;5;2;7;3;3;6;9;0;11;GPR83
ENSG00000020922.13;979;1316;544;759;583;675;722;839;680;806;847;815;1069;1171;717;722;MRE11
ENSG00000221230.1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MIR548L
ENSG00000168876.9;260;352;133;157;134;128;322;248;325;424;245;336;359;306;199;211;ANKRD49
ENSG00000257057.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;C11orf97
ENSG00000134627.12;47;76;13;28;28;26;7;14;3;6;22;64;10;7;9;27;PIWIL4
ENSG00000196371.4;193;242;95;161;146;92;148;270;79;121;158;159;173;103;117;89;FUT4
ENSG00000255929.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PIWIL4-AS1
ENSG00000166025.18;289;506;36;10;46;36;849;1494;1007;1259;589;609;741;935;635;866;AMOTL1
ENSG00000150316.12;1638;1691;797;901;780;962;1149;815;1106;1284;1712;1643;2219;1849;1320;1234;CWC15
ENSG00000186280.7;63;76;33;36;34;33;168;187;170;160;36;56;91;117;38;98;KDM4D
ENSG00000255653.1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;LOC100420801
ENSG00000235268.2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;KDM4E
ENSG00000274486.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LOC100420802
ENSG00000255855.2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;KDM4F
ENSG00000277984.1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;LOC100420803
ENSG00000263465.5;1168;1369;553;732;702;804;1147;1037;1119;1164;1022;963;1155;1241;625;818;SRSF8
ENSG00000149218.5;924;1401;388;537;446;461;458;491;333;344;398;370;573;239;241;247;ENDOD1
ENSG00000245552.8;5;9;1;1;4;1;20;12;13;15;19;7;14;6;6;9;LOC101929295
ENSG00000149212.12;8;15;1;2;2;0;887;975;705;1103;941;1201;1436;1085;544;762;SESN3
ENSG00000273600.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FGFR3P2
ENSG00000077458.13;309;426;204;221;185;161;336;357;327;377;452;601;755;533;385;433;FAM76B
ENSG00000166037.11;690;1013;363;404;364;427;640;740;726;812;1226;1229;1262;1187;964;770;CEP57
ENSG00000087053.20;1587;1735;928;1087;1182;1314;1109;1011;1183;1410;1351;1082;1426;1158;912;1022;MTMR2
ENSG00000222578.1;1;0;0;0;0;0;1;0;0;0;0;0;6;5;0;0;RNA5SP345
ENSG00000242993.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RPL32P25
ENSG00000184384.14;108;227;88;67;72;101;44;92;40;49;54;101;49;46;11;32;MAML2
ENSG00000266192.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MIR1260B
ENSG00000149231.16;535;901;279;380;291;325;364;495;327;452;361;514;551;430;242;255;CCDC82
ENSG00000183340.7;248;387;117;91;101;101;118;167;133;148;131;211;303;137;143;158;JRKL
ENSG00000200411.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RNA5SP346
